"name","city","state","description","latitude","longitude","distance"
"south pas middle","South Pasadena","California","its a school full of sets and rails, theres a nine stair with small rail and a 10 with alot of speed enough for el toro 20

Theres a whole bunch of ledges, (but the janitors are anoying as shit)",34.1082,-118.149,0.00013205352794747638
"Garvanza Skate Park","Los Angeles","California","Nice little park in my neighborhood.",34.1192,-118.18,1.931558412736783
"burbank middle","Los Angeles","California","an 8 stair rail that koston switch over crooks for cover, also a 20 flat 8 that reynolds, ellington, bastien, nyjah, and ragdoll skate....

also a massive 7 flat 2 p-rod varial heels, billy roper kickflips, reynolds f/s flips in a line, chris cole switch frontside heels, richie belton varial kickflips, stefan janoski switch kickflips, adam dyet switch back 180s, furby nollie flips, and corey sheppard pop shovit and 360 flips....

fun place..... go on weekends gates are sometimes open!",34.1195,-118.183,2.098052336912497
"Untitled Spot","Pasadena","California","there is a 14 that matt ball 50-50's- lance mountain also 50-50ies it

andrew pott crooks the 14 in oakley our life

and mark appleyard frontboards the 19 in an ad

don nguyen 50-50's the 19 in his part in cataclyssmic abyss

you wont get kicked out usually just go on a weekend",34.1564,-118.119,3.750322659451696
"LCHS","La Canada Flintridge","California","11 stair with a huge rail. six stair. three stair. if you have never seen this spot in a line you're crazy cuz its always in flick",34.1926,-118.179,6.085378772633055
"Corner Ledge","Los Angeles","California","Super steep corner ledge that goes up and down. Not for the average skater.",34.0681,-118.25,6.416355069860317
"Abandoned Roof Top","Los Angeles","California","3,4,5,6 stairs, Manny pad, Obstacles, Huge Car Gap, Stair Gap, Benches.",34.0538,-118.245,6.664110874001224
"ghetto park","Los Angeles","California","security rarely cums here dars a 4 step a 5 stair with a ledge on da side and  sumtims dars a rail u can use as a flatbar or a handrail n dey hav a metal bank manual pad ding fun place to tag or sk8 oohhh and uhh in my other account dat i 4got da password to i put ghetto park 2 blox away frum dis 1 so just ignore dat 1",34.0537,-118.245,6.667989804634197
"Ledges","Los Angeles","California","The best ledges in the world.

whats the real name of this spot?",34.058,-118.249,6.699149306226914
"Gap to ledge","Los Angeles","California","everybody's seen it, its sick. Dompierre noseblunted it. There's a lot of ledges around this building too",34.056,-118.248,6.723537121070339
"The 5","Los Angeles","California","5 stairs semi high, drops about 5-6 feet high, manny to ledge drops, ledge grinds, Drop about 7 or 8 feet high",34.0546,-118.247,6.728219504968207
"The Big 4","Los Angeles","California","Big 4 Block (stairs) , drops, 1-5 feet, gap, sketchy kickers, 7 LONG stair rail, Rent-a-cop, if you're gonna do the 4 hurry it up cause he comes out kinda quick, even at night (9 pm)",34.0481,-118.242,6.757945418766451
"Ghetto Park","Los Angeles","California","A four step a 5 step, sum ledges a manny pad sumtims dars a rail or flatbar or taggers usually never security",34.053,-118.247,6.789813677709631
"Piss Benches","Los Angeles","California","Spot under 4th street in downtown, smells like piss",34.0527,-118.255,7.184352704993078
"Belmont High","Los Angeles","California","3,4,5,6,7,9,Rails,Benches,Manny Pads,Ledges,Cops",34.0618,-118.262,7.225574682229236
"The Medical Center","Los Angeles","California","5 or 6 Stairs, Huge Slope,2 Big Ledges[you can also grind off them], and a bit to the left theres 2 long ledges, all waxed up",34.057,-118.259,7.22895565092722
"LA Library","Los Angeles","California","Plenty stairs and gaps",34.0511,-118.256,7.292149005822157
"Westwood Rail","Los Angeles","California","rail hit by Owen Wilson in Yeah Right among others",34.0162,-118.213,7.344697260081269
"Lake Street Skatepark","Los Angeles","California","At the skatepark helmets r requierd but dey nevr chek thers a wooden bank with a small quarter pipe in da middle on one side of the skatepark and a wooden quarter pipe on the other side in the middle theres a double bank thing with a flat rail in the middle of it on the north side of the park thers a round rail and a flat rail with a kink, then there are 2 small ledges......then outside of the skatepark which is inside lake street recreation center there is a 7 step, a 9 stair, and a 4 stair....next to te park theres a primary school that has a huge three stair that basiclly look like 3 ledges on top of each other it sorta looks like wallenburg but with one ledge missing so its an overall great place to skate",34.0694,-118.271,7.4865661017791325
"Downtown Car Wash","Los Angeles","California","The world famous car wash banks",34.0452,-118.264,7.899436666864125
"Hoover Rail","Glendale","California","17 stair square rail",34.1667,-118.27,8.022526773213709
"La Fayette Primary School","Los Angeles","California","this is a track skool so u can nevr skate there on a weekday even in summer but on saturdays and sundays u can skate. theres a regular sized ledge thats also waxed for nose/tail slides a manual pad dat starts out as a curb but then get bigger until its beecums a ledge theres also a litttle kid playground so u cud skate down the slide and some picnic tables made for kids so there samll enough to ollie up onto easy. theres also a super secret spot here thats amazing but i wont tell anybody unless they are a pro skater and go with me. other people that have skated this school are daewon song...",34.0664,-118.28,8.042173651511499
"MacArthur 9","Los Angeles","California","a train drops u off rite in front of these stairs dey r a 9 wit a lot of run up space den up da stairs dars a curb 2 curb ruffly 3ft gap wich can also b used as a manual pad wich is waxed",34.057,-118.276,8.091977811401135
"Convention Center Ledge","Los Angeles","California","Over waist high hubba.",34.0444,-118.269,8.169599157070497
"Staples Ledge","Los Angeles","California","Fun little ledge over grass gap. Lots of renta-a-cops.",34.0416,-118.268,8.228412033880597
